hanzi,level,frequency,pinyin,meanings
某,5,913,mǒu,sb or sth indefinite
某,5,913,mǒu,such-and-such
支,5,915,Zhī,surname Zhi
支,5,915,zhī,to support
支,5,915,zhī,to sustain
支,5,915,zhī,to erect
支,5,915,zhī,to raise
支,5,915,zhī,branch
支,5,915,zhī,division
支,5,915,zhī,to draw money
支,5,915,zhī,"classifier for rods such as pens and guns, for army divisions and for songs or compositions"
提,5,919,dī,used in 防 and 溜
提,5,919,tí,to carry (hanging down from the hand)
提,5,919,tí,to lift
提,5,919,tí,to put forward
提,5,919,tí,to mention
提,5,919,tí,to raise (an issue)
提,5,919,tí,upwards character stroke
提,5,919,tí,lifting brush stroke (in painting)
提,5,919,tí,scoop for measuring liquid
人生,5,926,rén shēng,life (one's time on earth)
非,5,949,Fēi,"abbr. for 洲, Africa"
非,5,949,fēi,to not be; not
非,5,949,fēi,wrong; incorrect
非,5,949,fēi,non-; un-; in-; de-
非,5,949,fēi,to reproach; to blame
非,5,949,fēi,(coll.) to insist on; simply must
失去,5,949,shī qù,to lose
则,5,966,zé,(literary) (conjunction used to express contrast with a previous clause) but; then
则,5,966,zé,(bound form) standard; norm
则,5,966,zé,(bound form) principle
则,5,966,zé,(literary) to imitate; to follow
则,5,966,zé,classifier for written items
面对,5,973,miàn duì,to face; to confront
训练,5,985,xùn liàn,to train
训练,5,985,xùn liàn,to drill
训练,5,985,xùn liàn,training
总统,5,988,zǒng tǒng,president (of a country)
部门,5,992,bù mén,department
部门,5,992,bù mén,branch
部门,5,992,bù mén,section
部门,5,992,bù mén,division
似乎,5,997,sì hū,it seems; seemingly; as if
宝贝,5,1003,bǎo bèi,treasured object
宝贝,5,1003,bǎo bèi,treasure
宝贝,5,1003,bǎo bèi,darling
宝贝,5,1003,bǎo bèi,baby
宝贝,5,1003,bǎo bèi,cowry
宝贝,5,1003,bǎo bèi,good-for-nothing or queer character
位置,5,1003,wèi zhi,position
位置,5,1003,wèi zhi,place
位置,5,1003,wèi zhi,seat
方,5,1012,Fāng,surname Fang
方,5,1012,fāng,square
方,5,1012,fāng,power or involution (math.)
方,5,1012,fāng,upright
方,5,1012,fāng,honest
方,5,1012,fāng,fair and square
方,5,1012,fāng,direction
方,5,1012,fāng,side
方,5,1012,fāng,"party (to a contract, dispute etc)"
方,5,1012,fāng,place
方,5,1012,fāng,method
方,5,1012,fāng,prescription (medicine)
方,5,1012,fāng,just when
方,5,1012,fāng,only or just
方,5,1012,fāng,classifier for square things
方,5,1012,fāng,abbr. for square or cubic meter
参与,5,1027,cān yù,to participate (in sth)
显示,5,1030,xiǎn shì,to show
显示,5,1030,xiǎn shì,to illustrate
显示,5,1030,xiǎn shì,to display
显示,5,1030,xiǎn shì,to demonstrate
秒,5,1034,miǎo,second (unit of time)
秒,5,1034,miǎo,arc second (angular measurement unit)
秒,5,1034,miǎo,(coll.) instantly
属于,5,1036,shǔ yú,to be classified as
属于,5,1036,shǔ yú,to belong to
属于,5,1036,shǔ yú,to be part of
人类,5,1038,rén lèi,humanity
人类,5,1038,rén lèi,human race
人类,5,1038,rén lèi,mankind
手术,5,1041,shǒu shù,(surgical) operation
手术,5,1041,shǒu shù,surgery
比如,5,1051,bǐ rú,for example
比如,5,1051,bǐ rú,for instance
比如,5,1051,bǐ rú,such as
兄弟,5,1060,xiōng dì,brothers
兄弟,5,1060,xiōng dì,younger brother
兄弟,5,1060,xiōng dì,"I, me (humble term used by men in public speech)"
兄弟,5,1060,xiōng dì,brotherly
兄弟,5,1060,xiōng dì,fraternal
自由,5,1067,zì yóu,freedom; liberty
自由,5,1067,zì yóu,free; unrestricted
夜,5,1082,yè,variant of 夜
夜,5,1082,yè,night
事实,5,1092,shì shí,fact
基本,5,1095,jī běn,basic
基本,5,1095,jī běn,fundamental
基本,5,1095,jī běn,main
基本,5,1095,jī běn,elementary
居然,5,1095,jū rán,unexpectedly
居然,5,1095,jū rán,to one's surprise
居然,5,1095,jū rán,go so far as to
类,5,1096,lèi,kind
类,5,1096,lèi,type
类,5,1096,lèi,class
类,5,1096,lèi,category
类,5,1096,lèi,similar
类,5,1096,lèi,like
类,5,1096,lèi,to resemble
专家,5,1096,zhuān jiā,expert; specialist
称,5,1100,chèn,to fit
称,5,1100,chèn,balanced
称,5,1100,chèn,suitable
称,5,1100,chèng,variant of 秤
称,5,1100,chèng,steelyard
称,5,1100,chēng,to weigh
称,5,1100,chēng,to state
称,5,1100,chēng,to name
称,5,1100,chēng,name
称,5,1100,chēng,appellation
称,5,1100,chēng,to praise
分析,5,1101,fēn xī,to analyze
分析,5,1101,fēn xī,analysis
享受,5,1102,xiǎng shòu,to enjoy
享受,5,1102,xiǎng shòu,to live it up
享受,5,1102,xiǎng shòu,pleasure
以来,5,1117,yǐ lái,since (a previous event)
反应,5,1118,fǎn yìng,to react
反应,5,1118,fǎn yìng,to respond
反应,5,1118,fǎn yìng,reaction
反应,5,1118,fǎn yìng,response
反应,5,1118,fǎn yìng,reply
反应,5,1118,fǎn yìng,chemical reaction
地区,5,1123,dì qū,local
地区,5,1123,dì qū,regional
地区,5,1123,dì qū,district (not necessarily formal administrative unit)
地区,5,1123,dì qū,region
地区,5,1123,dì qū,area
地区,5,1123,dì qū,"as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)"
资料,5,1130,zī liào,material
资料,5,1130,zī liào,resources
资料,5,1130,zī liào,data
资料,5,1130,zī liào,information
资料,5,1130,zī liào,profile (Internet)
冠军,5,1133,guàn jūn,champion
价值,5,1136,jià zhí,value
价值,5,1136,jià zhí,worth
价值,5,1136,jià zhí,"fig. values (ethical, cultural etc)"
相当,5,1139,xiāng dāng,equivalent to
相当,5,1139,xiāng dāng,appropriate
相当,5,1139,xiāng dāng,considerably
相当,5,1139,xiāng dāng,to a certain extent
相当,5,1139,xiāng dāng,fairly
相当,5,1139,xiāng dāng,quite
实现,5,1144,shí xiàn,to achieve
实现,5,1144,shí xiàn,to implement
实现,5,1144,shí xiàn,to realize
实现,5,1144,shí xiàn,to bring about
产生,5,1155,chǎn shēng,to arise; to come into being; to come about
产生,5,1155,chǎn shēng,to give rise to; to bring into being; to bring about; to produce; to engender; to generate
对方,5,1158,duì fāng,the other person; the other side; the other party
状态,5,1158,zhuàng tài,condition; state; state of affairs
心理,5,1160,xīn lǐ,psychology
心理,5,1160,xīn lǐ,mentality
根,5,1181,gēn,root
根,5,1181,gēn,basis
根,5,1181,gēn,"classifier for long slender objects, e.g. cigarettes, guitar strings"
根,5,1181,gēn,radical (chemistry)
建立,5,1182,jiàn lì,to establish
建立,5,1182,jiàn lì,to set up
建立,5,1182,jiàn lì,to found
老板,5,1185,Lǎo bǎn,Robam (brand)
更加,5,1185,gèng jiā,more (than sth else)
更加,5,1185,gèng jiā,even more
老板,5,1185,lǎo bǎn,variant of 老板
老板,5,1185,lǎo bǎn,boss
老板,5,1185,lǎo bǎn,business proprietor
必要,5,1191,bì yào,necessary
必要,5,1191,bì yào,essential
必要,5,1191,bì yào,indispensable
必要,5,1191,bì yào,required
抢,5,1191,qiāng,(literary) to knock against (esp. to knock one's head on the ground in grief or rage)
抢,5,1191,qiāng,opposite in direction; contrary
抢,5,1191,qiǎng,to fight over
抢,5,1191,qiǎng,to rush
抢,5,1191,qiǎng,to scramble
抢,5,1191,qiǎng,to grab
抢,5,1191,qiǎng,to rob
抢,5,1191,qiǎng,to snatch
节,5,1196,jié,joint; node
节,5,1196,jié,(bound form) section; segment
节,5,1196,jié,solar term (one of the 24 divisions of the year in the traditional Chinese calendar)
节,5,1196,jié,seasonal festival
节,5,1196,jié,(bound form) to economize; to save
节,5,1196,jié,(bound form) moral integrity; chastity
节,5,1196,jié,"classifier for segments: lessons, train wagons, biblical verses etc"
节,5,1196,jié,knot (nautical miles per hour)
节,5,1196,jiē,see 节骨眼
傻,5,1197,shǎ,foolish
亲爱,5,1202,qīn ài,dear
亲爱,5,1202,qīn ài,beloved
亲爱,5,1202,qīn ài,darling
救,5,1217,jiù,variant of 救
救,5,1217,jiù,to save
救,5,1217,jiù,to assist
救,5,1217,jiù,to rescue
恢复,5,1219,huī fù,to reinstate
恢复,5,1219,huī fù,to resume
恢复,5,1219,huī fù,to restore
恢复,5,1219,huī fù,to recover
恢复,5,1219,huī fù,to regain
恢复,5,1219,huī fù,to rehabilitate
棒,5,1228,bàng,stick
棒,5,1228,bàng,club
棒,5,1228,bàng,cudgel
棒,5,1228,bàng,smart
棒,5,1228,bàng,capable
棒,5,1228,bàng,strong
棒,5,1228,bàng,wonderful
棒,5,1228,bàng,classifier for legs of a relay race
达到,5,1234,dá dào,to reach; to achieve; to attain
投资,5,1236,tóu zī,investment
投资,5,1236,tóu zī,to invest
现实,5,1237,xiàn shí,reality
现实,5,1237,xiàn shí,actuality
现实,5,1237,xiàn shí,real
现实,5,1237,xiàn shí,actual
现实,5,1237,xiàn shí,realistic
现实,5,1237,xiàn shí,pragmatic
现实,5,1237,xiàn shí,materialistic
现实,5,1237,xiàn shí,self-interested
不断,5,1245,bù duàn,unceasing
不断,5,1245,bù duàn,uninterrupted
不断,5,1245,bù duàn,continuous
不断,5,1245,bù duàn,constant
导致,5,1268,dǎo zhì,to lead to
导致,5,1268,dǎo zhì,to create
导致,5,1268,dǎo zhì,to cause
导致,5,1268,dǎo zhì,to bring about
集中,5,1271,jí zhōng,to concentrate
集中,5,1271,jí zhōng,to centralize
集中,5,1271,jí zhōng,to focus
集中,5,1271,jí zhōng,centralized
集中,5,1271,jí zhōng,concentrated
集中,5,1271,jí zhōng,to put together
战争,5,1274,zhàn zhēng,war
战争,5,1274,zhàn zhēng,conflict
理由,5,1280,lǐ yóu,reason
理由,5,1280,lǐ yóu,grounds
理由,5,1280,lǐ yóu,justification
感受,5,1286,gǎn shòu,to sense
感受,5,1286,gǎn shòu,perception
感受,5,1286,gǎn shòu,to feel (through the senses)
感受,5,1286,gǎn shòu,to experience
感受,5,1286,gǎn shòu,a feeling
感受,5,1286,gǎn shòu,an impression
感受,5,1286,gǎn shòu,an experience
完美,5,1292,wán měi,perfect
真实,5,1299,zhēn shí,true; real
错误,5,1305,cuò wù,mistaken; false; wrong
错误,5,1305,cuò wù,error; mistake
记录,5,1305,jì lù,to record
记录,5,1305,jì lù,record (written account)
记录,5,1305,jì lù,note-taker
记录,5,1305,jì lù,record (in sports etc)
空间,5,1306,kōng jiān,space; room
空间,5,1306,kōng jiān,(fig.) scope; leeway
空间,5,1306,kōng jiān,(astronomy) outer space
空间,5,1306,kōng jiān,"(physics, math.) space"
冲,5,1312,chòng,powerful
冲,5,1312,chòng,vigorous
冲,5,1312,chòng,pungent
冲,5,1312,chòng,towards
冲,5,1312,chòng,in view of
冲,5,1312,chōng,(of water) to dash against
冲,5,1312,chōng,to mix with water
冲,5,1312,chōng,to infuse
冲,5,1312,chōng,to rinse
冲,5,1312,chōng,to flush
冲,5,1312,chōng,to develop (a film)
冲,5,1312,chōng,to rise in the air
冲,5,1312,chōng,to clash
冲,5,1312,chōng,to collide with
冲,5,1312,chōng,thoroughfare
冲,5,1312,chōng,to go straight ahead
冲,5,1312,chōng,to rush
冲,5,1312,chōng,to clash
期待,5,1312,qī dài,to look forward to
期待,5,1312,qī dài,to await
期待,5,1312,qī dài,expectation
毛,5,1319,Máo,surname Mao
毛,5,1319,máo,hair
毛,5,1319,máo,feather
毛,5,1319,máo,down
毛,5,1319,máo,wool
毛,5,1319,máo,mildew
毛,5,1319,máo,mold
毛,5,1319,máo,coarse or semifinished
毛,5,1319,máo,young
毛,5,1319,máo,raw
毛,5,1319,máo,careless
毛,5,1319,máo,unthinking
毛,5,1319,máo,nervous
毛,5,1319,máo,scared
毛,5,1319,máo,(of currency) to devalue or depreciate
毛,5,1319,máo,"classifier for Chinese fractional monetary unit ( = 角 , = one-tenth of a yuan or 10 fen 分)"
政治,5,1320,zhèng zhì,politics
政治,5,1320,zhèng zhì,political
朝,5,1321,Cháo,abbr. for 朝鲜 Korea
朝,5,1321,cháo,imperial or royal court
朝,5,1321,cháo,government
朝,5,1321,cháo,dynasty
朝,5,1321,cháo,reign of a sovereign or emperor
朝,5,1321,cháo,court or assembly held by a sovereign or emperor
朝,5,1321,cháo,to make a pilgrimage to
朝,5,1321,cháo,facing
朝,5,1321,cháo,towards
朝,5,1321,zhāo,morning
一旦,5,1323,yī dàn,in case (sth happens)
一旦,5,1323,yī dàn,if
一旦,5,1323,yī dàn,"once (sth happens, then...)"
一旦,5,1323,yī dàn,when
一旦,5,1323,yī dàn,in a short time
一旦,5,1323,yī dàn,in one day
承认,5,1327,chéng rèn,to admit
承认,5,1327,chéng rèn,to concede
承认,5,1327,chéng rèn,to recognize
承认,5,1327,chéng rèn,"recognition (diplomatic, artistic etc)"
承认,5,1327,chéng rèn,to acknowledge
执行,5,1328,zhí xíng,to implement
执行,5,1328,zhí xíng,to carry out
执行,5,1328,zhí xíng,to execute
执行,5,1328,zhí xíng,to run
接着,5,1329,jiē zhe,to catch and hold on
接着,5,1329,jiē zhe,to continue
接着,5,1329,jiē zhe,to go on to do sth
接着,5,1329,jiē zhe,to follow
接着,5,1329,jiē zhe,to carry on
接着,5,1329,jiē zhe,then
接着,5,1329,jiē zhe,after that
接着,5,1329,jiē zhe,subsequently
接着,5,1329,jiē zhe,to proceed
接着,5,1329,jiē zhe,to ensue
接着,5,1329,jiē zhe,in turn
接着,5,1329,jiē zhe,in one's turn
痛苦,5,1336,tòng kǔ,pain
痛苦,5,1336,tòng kǔ,suffering
痛苦,5,1336,tòng kǔ,painful
文件,5,1342,wén jiàn,document
文件,5,1342,wén jiàn,file
显然,5,1345,xiǎn rán,clearly; evidently; obviously
传统,5,1363,chuán tǒng,tradition
传统,5,1363,chuán tǒng,traditional
传统,5,1363,chuán tǒng,convention
传统,5,1363,chuán tǒng,conventional
状况,5,1372,zhuàng kuàng,condition; state; situation
翻,5,1378,fān,to turn over
翻,5,1378,fān,to flip over
翻,5,1378,fān,to overturn
翻,5,1378,fān,to rummage through
翻,5,1378,fān,to translate
翻,5,1378,fān,to decode
翻,5,1378,fān,to double
翻,5,1378,fān,to climb over or into
翻,5,1378,fān,to cross
翻,5,1378,fān,variant of 翻
作品,5,1381,zuò pǐn,work (of art)
作品,5,1381,zuò pǐn,opus
时代,5,1384,Shí dài,"Time, US weekly news magazine"
时代,5,1384,shí dài,age
时代,5,1384,shí dài,era
时代,5,1384,shí dài,epoch
时代,5,1384,shí dài,period (in one's life)
伟大,5,1387,wěi dà,huge; great; grand; worthy of the greatest admiration; important (contribution etc)
的确,5,1392,dí què,really
的确,5,1392,dí què,indeed
颗,5,1392,kē,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
身份,5,1401,shēn fèn,identity
身份,5,1401,shēn fèn,"aspect of one's identity (i.e. sth that one is – mayor, father, permanent resident etc)"
身份,5,1401,shēn fèn,role
身份,5,1401,shēn fèn,"capacity (as in ""in his capacity as a ..."" 以…份)"
身份,5,1401,shēn fèn,"status (social, legal etc)"
身份,5,1401,shēn fèn,position
身份,5,1401,shēn fèn,rank
充满,5,1405,chōng mǎn,full of
充满,5,1405,chōng mǎn,brimming with
充满,5,1405,chōng mǎn,very full
充满,5,1405,chōng mǎn,permeated
人物,5,1410,rén wù,person; personage; figure (esp. sb of importance)
人物,5,1410,rén wù,"character (in a play, novel etc)"
人物,5,1410,rén wù,figure painting (as a genre of traditional Chinese painting)
要是,5,1413,yào shi,(coll.) if
系,5,1415,jì,to tie
系,5,1415,jì,to fasten
系,5,1415,jì,to button up
系,5,1415,xì,to connect
系,5,1415,xì,to relate to
系,5,1415,xì,to tie up
系,5,1415,xì,to bind
系,5,1415,xì,to be (literary)
系,5,1415,xì,system
系,5,1415,xì,department
系,5,1415,xì,faculty
系,5,1415,xì,to connect
系,5,1415,xì,to arrest
系,5,1415,xì,to worry
直,5,1420,Zhí,surname Zhi
直,5,1420,Zhí,"Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 帝 descended from Shennong 神农 Farmer God"
直,5,1420,zhí,straight
直,5,1420,zhí,to straighten
直,5,1420,zhí,fair and reasonable
直,5,1420,zhí,frank
直,5,1420,zhí,straightforward
直,5,1420,zhí,(indicates continuing motion or action)
直,5,1420,zhí,vertical
直,5,1420,zhí,vertical downward stroke in Chinese characters
产品,5,1421,chǎn pǐn,goods
产品,5,1421,chǎn pǐn,merchandise
产品,5,1421,chǎn pǐn,product
枪,5,1429,Qiāng,surname Qiang
枪,5,1429,qiāng,gun
枪,5,1429,qiāng,firearm
枪,5,1429,qiāng,rifle
枪,5,1429,qiāng,spear
枪,5,1429,qiāng,thing with shape or function similar to a gun
枪,5,1429,qiāng,to substitute for another person in a test
枪,5,1429,qiāng,to knock
枪,5,1429,qiāng,classifier for rifle shots
枪,5,1429,qiāng,variant of 枪
枪,5,1429,qiāng,rifle
枪,5,1429,qiāng,spear
保险,5,1430,bǎo xiǎn,insurance
保险,5,1430,bǎo xiǎn,to insure
保险,5,1430,bǎo xiǎn,safe
保险,5,1430,bǎo xiǎn,secure
保险,5,1430,bǎo xiǎn,be sure
保险,5,1430,bǎo xiǎn,be bound to
年代,5,1430,nián dài,a decade of a century (e.g. the Sixties)
年代,5,1430,nián dài,age
年代,5,1430,nián dài,era
年代,5,1430,nián dài,period
领导,5,1433,lǐng dǎo,lead
领导,5,1433,lǐng dǎo,leading
领导,5,1433,lǐng dǎo,to lead
领导,5,1433,lǐng dǎo,leadership
领导,5,1433,lǐng dǎo,leader
寻找,5,1444,xún zhǎo,to seek; to look for
胜利,5,1445,shèng lì,victory
明星,5,1452,míng xīng,star; celebrity
受伤,5,1454,shòu shāng,to sustain injuries
受伤,5,1454,shòu shāng,wounded (in an accident etc)
受伤,5,1454,shòu shāng,harmed
程度,5,1455,chéng dù,degree; level; extent
理论,5,1462,lǐ lùn,theory
理论,5,1462,lǐ lùn,to argue
理论,5,1462,lǐ lùn,to take notice of
宣布,5,1467,xuān bù,to declare
宣布,5,1467,xuān bù,to announce
宣布,5,1467,xuān bù,to proclaim
姑娘,5,1474,gū niang,girl
姑娘,5,1474,gū niang,young woman
姑娘,5,1474,gū niang,young lady
姑娘,5,1474,gū niang,daughter
姑娘,5,1474,gū niang,paternal aunt (old)
创造,5,1476,chuàng zào,to create
创造,5,1476,chuàng zào,to bring about
创造,5,1476,chuàng zào,to produce
创造,5,1476,chuàng zào,to set (a record)
呆,5,1485,dāi,foolish
呆,5,1485,dāi,stupid
呆,5,1485,dāi,expressionless
呆,5,1485,dāi,blank
呆,5,1485,dāi,to stay
雷,5,1494,Léi,surname Lei
雷,5,1494,léi,thunder
雷,5,1494,léi,"(bound form) (military) mine, as in 雷 land mine"
雷,5,1494,léi,(coll.) to shock; to stun; to astound
雷,5,1494,léi,(Tw) (coll.) spoiler
雷,5,1494,léi,(Tw) (coll.) to reveal plot details to (sb)
数据,5,1496,shù jù,data
武器,5,1505,wǔ qì,weapon
武器,5,1505,wǔ qì,arms
圈,5,1517,juàn,livestock enclosure; pen; fold; sty
圈,5,1517,juān,to confine
圈,5,1517,juān,to lock up
圈,5,1517,juān,to pen in
圈,5,1517,quān,circle; ring; loop
圈,5,1517,quān,"classifier for loops, orbits, laps of race etc"
圈,5,1517,quān,to surround; to circle
思想,5,1525,sī xiǎng,thought
思想,5,1525,sī xiǎng,thinking
思想,5,1525,sī xiǎng,idea
思想,5,1525,sī xiǎng,ideology
破坏,5,1527,pò huài,destruction
破坏,5,1527,pò huài,damage
破坏,5,1527,pò huài,to wreck
破坏,5,1527,pò huài,to break
破坏,5,1527,pò huài,to destroy
消失,5,1528,xiāo shī,to disappear; to fade away
稳定,5,1539,wěn dìng,steady
稳定,5,1539,wěn dìng,stable
稳定,5,1539,wěn dìng,stability
稳定,5,1539,wěn dìng,to stabilize
稳定,5,1539,wěn dìng,to pacify
巨大,5,1540,jù dà,huge
巨大,5,1540,jù dà,immense
巨大,5,1540,jù dà,very large
巨大,5,1540,jù dà,tremendous
巨大,5,1540,jù dà,gigantic
巨大,5,1540,jù dà,enormous
龙,5,1547,Lóng,surname Long
龙,5,1547,lóng,dragon
龙,5,1547,lóng,imperial
英雄,5,1553,yīng xióng,hero
满足,5,1555,mǎn zú,to satisfy
满足,5,1555,mǎn zú,to meet (the needs of)
满足,5,1555,mǎn zú,satisfied
满足,5,1555,mǎn zú,content
土地,5,1563,tǔ di,local god
土地,5,1563,tǔ di,genius loci
土地,5,1563,tǔ dì,land
土地,5,1563,tǔ dì,soil
土地,5,1563,tǔ dì,territory
威胁,5,1564,wēi xié,to threaten; to menace
等待,5,1567,děng dài,to wait; to wait for
挑战,5,1571,tiǎo zhàn,to challenge
挑战,5,1571,tiǎo zhàn,challenge
秘密,5,1577,mì mì,secret; private; confidential; clandestine
秘密,5,1577,mì mì,a secret
设备,5,1590,shè bèi,equipment; facilities; installations
团,5,1597,tuán,round
团,5,1597,tuán,lump
团,5,1597,tuán,ball
团,5,1597,tuán,to roll into a ball
团,5,1597,tuán,to gather
团,5,1597,tuán,regiment
团,5,1597,tuán,group
团,5,1597,tuán,society
团,5,1597,tuán,"classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)"
团,5,1597,tuán,dumpling
紧,5,1601,jǐn,tight
紧,5,1601,jǐn,strict
紧,5,1601,jǐn,close at hand
紧,5,1601,jǐn,near
紧,5,1601,jǐn,urgent
紧,5,1601,jǐn,tense
紧,5,1601,jǐn,hard up
紧,5,1601,jǐn,short of money
紧,5,1601,jǐn,to tighten
对手,5,1603,duì shǒu,opponent
对手,5,1603,duì shǒu,rival
对手,5,1603,duì shǒu,competitor
对手,5,1603,duì shǒu,(well-matched) adversary
对手,5,1603,duì shǒu,match
俱乐部,5,1603,jù lè bù,club (the organisation or its premises) (loanword)
想象,5,1608,xiǎng xiàng,to imagine; to envision
想象,5,1608,xiǎng xiàng,imagination
所谓,5,1616,suǒ wèi,so-called
所谓,5,1616,suǒ wèi,what is called
背,5,1623,bèi,the back of a body or object
背,5,1623,bèi,to turn one's back
背,5,1623,bèi,to hide something from
背,5,1623,bèi,to learn by heart
背,5,1623,bèi,to recite from memory
背,5,1623,bèi,unlucky (slang)
背,5,1623,bèi,hard of hearing
背,5,1623,bēi,variant of 背
背,5,1623,bēi,to be burdened
背,5,1623,bēi,to carry on the back or shoulder
顶,5,1623,dǐng,apex
顶,5,1623,dǐng,crown of the head
顶,5,1623,dǐng,top
顶,5,1623,dǐng,roof
顶,5,1623,dǐng,most
顶,5,1623,dǐng,to carry on the head
顶,5,1623,dǐng,to push to the top
顶,5,1623,dǐng,to go against
顶,5,1623,dǐng,to replace
顶,5,1623,dǐng,to substitute
顶,5,1623,dǐng,"to be subjected to (an aerial bombing, hailstorm etc)"
顶,5,1623,dǐng,"(slang) to ""bump"" a forum thread to raise its profile"
顶,5,1623,dǐng,"classifier for headwear, hats, veils etc"
恐怖,5,1623,kǒng bù,terrible
恐怖,5,1623,kǒng bù,frightful
恐怖,5,1623,kǒng bù,frightening
恐怖,5,1623,kǒng bù,terror
恐怖,5,1623,kǒng bù,terrorist
特殊,5,1632,tè shū,special
特殊,5,1632,tè shū,particular
特殊,5,1632,tè shū,unusual
特殊,5,1632,tè shū,extraordinary
具体,5,1638,jù tǐ,concrete
具体,5,1638,jù tǐ,definite
具体,5,1638,jù tǐ,specific
风格,5,1644,fēng gé,style
建筑,5,1649,jiàn zhù,to construct
建筑,5,1649,jiàn zhù,building
角色,5,1656,jué sè,role
角色,5,1656,jué sè,character in a novel
角色,5,1656,jué sè,persona
角色,5,1656,jué sè,also pr. [jiǎo sè]
疯狂,5,1657,fēng kuáng,crazy; frenzied; wild
彻底,5,1659,chè dǐ,thorough
彻底,5,1659,chè dǐ,thoroughly
彻底,5,1659,chè dǐ,complete
幅,5,1668,fú,width
幅,5,1668,fú,roll
幅,5,1668,fú,classifier for textiles or pictures
出口,5,1693,chū kǒu,an exit
出口,5,1693,chū kǒu,to speak
出口,5,1693,chū kǒu,to export
出口,5,1693,chū kǒu,(of a ship) to leave port
布,5,1694,bù,variant of 布
布,5,1694,bù,to announce
布,5,1694,bù,to spread
布,5,1694,bù,cloth
布,5,1694,bù,to declare
布,5,1694,bù,to announce
布,5,1694,bù,to spread
布,5,1694,bù,to make known
权利,5,1696,quán lì,right (i.e. an entitlement to sth)
权利,5,1696,quán lì,(classical) power and wealth
采取,5,1701,cǎi qǔ,"to adopt or carry out (measures, policies, course of action)"
采取,5,1701,cǎi qǔ,to take
期间,5,1703,qī jiān,period of time
期间,5,1703,qī jiān,time
期间,5,1703,qī jiān,time period
期间,5,1703,qī jiān,period
意外,5,1703,yì wài,unexpected
意外,5,1703,yì wài,accident
意外,5,1703,yì wài,mishap
风险,5,1705,fēng xiǎn,risk; hazard
时刻,5,1705,shí kè,time
时刻,5,1705,shí kè,juncture
时刻,5,1705,shí kè,moment
时刻,5,1705,shí kè,period of time
时刻,5,1705,shí kè,constantly
时刻,5,1705,shí kè,always
平,5,1707,Píng,surname Ping
平,5,1707,píng,flat
平,5,1707,píng,level
平,5,1707,píng,equal
平,5,1707,píng,to tie (make the same score)
平,5,1707,píng,to draw (score)
平,5,1707,píng,calm
平,5,1707,píng,peaceful
平,5,1707,píng,abbr. for 平声
观察,5,1708,guān chá,to observe; to watch; to survey
钟,5,1714,Zhōng,surname Zhong
钟,5,1714,zhōng,handleless cup
钟,5,1714,zhōng,goblet
钟,5,1714,zhōng,to concentrate
钟,5,1714,zhōng,variant of 钟
钟,5,1714,zhōng,clock
钟,5,1714,zhōng,o'clock
钟,5,1714,zhōng,time as measured in hours and minutes
钟,5,1714,zhōng,bell
恨,5,1715,hèn,to hate
恨,5,1715,hèn,to regret
接近,5,1720,jiē jìn,to approach
接近,5,1720,jiē jìn,to get close to
敌人,5,1731,dí rén,enemy
表明,5,1735,biǎo míng,to make clear
表明,5,1735,biǎo míng,to make known
表明,5,1735,biǎo míng,to state clearly
表明,5,1735,biǎo míng,to indicate
表明,5,1735,biǎo míng,known
时尚,5,1741,shí shàng,fashion
时尚,5,1741,shí shàng,fad
时尚,5,1741,shí shàng,fashionable
程序,5,1747,chéng xù,procedures
程序,5,1747,chéng xù,sequence
程序,5,1747,chéng xù,order
程序,5,1747,chéng xù,computer program
持续,5,1749,chí xù,to continue
持续,5,1749,chí xù,to persist
持续,5,1749,chí xù,to last
持续,5,1749,chí xù,sustainable
持续,5,1749,chí xù,preservation
和平,5,1750,Hé píng,"Heping District of Shenyang city 沈阳市, Liaoning"
和平,5,1750,Hé píng,"Heping or Hoping Township in Taichung County 台中县, Taiwan"
和平,5,1750,hé píng,peace
和平,5,1750,hé píng,peaceful
切,5,1757,qiè,definitely; absolutely (not)
切,5,1757,qiè,"(scoffing or dismissive interjection) Yeah, right.; Tut!"
切,5,1757,qiè,to grind
切,5,1757,qiè,(bound form) close to
切,5,1757,qiè,(bound form) eager
切,5,1757,qiè,to correspond to
切,5,1757,qiè,(used to indicate that the fanqie 切 system should be applied to the previous two characters)
切,5,1757,qiē,to cut; to slice; to carve
切,5,1757,qiē,(math) tangential
合同,5,1766,hé tong,(business) contract
食物,5,1768,shí wù,food
发表,5,1771,fā biǎo,to issue
发表,5,1771,fā biǎo,to publish
相关,5,1782,xiāng guān,related
相关,5,1782,xiāng guān,relevant
相关,5,1782,xiāng guān,pertinent
相关,5,1782,xiāng guān,to be interrelated
相关,5,1782,xiāng guān,(statistics) correlation
简直,5,1797,jiǎn zhí,simply; really
退,5,1809,tuì,to retreat; to withdraw
退,5,1809,tuì,to reject; to return (sth)
退,5,1809,tuì,to decline
情绪,5,1810,qíng xù,mood
情绪,5,1810,qíng xù,state of mind
情绪,5,1810,qíng xù,moodiness
信号,5,1815,xìn hào,signal
